Rank	Score	Type	ID	Name	Description
1415	14.33	cp	BRD-A89337244	PD-102807	Acetylcholine receptor antagonist
1416	14.32	cp	BRD-K45542189	diethylcarbamazine	Lipoxygenase inhibitor
1419	14.24	cp	BRD-K68341547	W-9	Calmodulin antagonist
1421	14.19	cp	BRD-A19633847	perhexiline	Carnitine palmitoyltransferase inhibitor
1424	14.08	cp	BRD-K76775527	nimesulide	Cyclooxygenase inhibitor
1426	14.02	cp	BRD-K70511574	sunitinib	PLK inhibitor
1430	13.89	cp	BRD-K83794624	pirarubicin	Topoisomerase inhibitor
1431	13.87	cp	BRD-A06784547	MRS-1334	Adenosine receptor antagonist
1432	13.86	cp	BRD-K29668683	BD-1063	Sigma receptor antagonist
1435	13.79	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
1437	13.78	cp	BRD-K65814004	diphenyleneiodonium	Nitric oxide synthase inhibitor
1439	13.73	cp	BRD-K50140147	NVP-TAE684	ALK inhibitor
1440	13.72	cp	BRD-K05901394	terguride	Dopamine receptor agonist
1443	13.69	cp	BRD-K78838262	austricine	Hypolipidemic
1451	13.5	cp	BRD-K17674993	diflorasone	Corticosteroid agonist
1458	13.38	cp	BRD-K07403598	CAY-10470	NFkB pathway inhibitor
1460	13.35	cp	BRD-K11927976	ER-27319	Mediator release inhibitor
1461	13.33	cp	BRD-A03359064	ICI-89406	Adrenergic receptor antagonist
1464	13.28	cp	BRD-A98283014	calmidazolium	Calcium channel blocker
1465	13.28	cp	BRD-K17306061	aprepitant	Tachykinin antagonist
1467	13.23	cp	BRD-K59597909	phenothiazine	Dopamine receptor antagonist
1468	13.22	cp	BRD-K37720887	SB-525334	TGF beta receptor inhibitor
1471	13.15	cp	BRD-K18518344	digitoxigenin	ATPase inhibitor
1479	13.03	cp	BRD-A70649075	sulconazole	Sterol demethylase inhibitor
1482	12.97	cp	BRD-K68873215	phosphodiesterase-V-inhibitor-II	Phosphodiesterase inhibitor
1485	12.94	cp	BRD-K66944906	fraxidin	Carbonic anhydrase inhibitor
1488	12.91	cp	BRD-K92413528	thiazolidinecarboxylic-acid	Reducing agent
1490	12.88	cp	BRD-K55468218	spiperone	Dopamine receptor antagonist
1492	12.83	cp	BRD-K09397065	SR-57227A	Serotonin receptor agonist
1493	12.8	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
1498	12.74	cp	BRD-A10070317	propranolol	Adrenergic receptor antagonist
1499	12.69	cp	BRD-A09828896	SKF-81297	Dopamine receptor agonist
1500	12.69	cp	BRD-K97810537	beclometasone	Glucocorticoid receptor agonist
1505	12.61	cp	BRD-A92537424	danazol	Estrogen receptor antagonist
1506	12.6	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
1507	12.56	cp	BRD-A66199457	asiaticoside	Antineoplastic
1509	12.52	cp	BRD-K25310650	ormetoprim	Bacterial antifolate
1510	12.52	cp	BRD-A96107863	nisoldipine	Calcium channel blocker
1511	12.51	cp	BRD-K39983086	loteprednol	Glucocorticoid receptor agonist
1514	12.39	cp	BRD-A88774919	doxycycline	Bacterial 30S ribosomal subunit inhibitor
1515	12.37	cp	BRD-K75295174	alisertib	Aurora kinase inhibitor
1516	12.37	cp	BRD-K40619305	larixinic-acid	Compound that interacts with metal centers
1519	12.23	cp	BRD-K99545815	PF-562271	Focal adhesion kinase inhibitor
1523	12.13	cp	BRD-K12357156	AG-490	EGFR inhibitor
1525	12.08	cp	BRD-A65145453	ATPA	Glutamate receptor agonist
1526	12.07	cp	BRD-A84493640	atovaquone	Mitochondrial electron transport inhibitor
1527	12.02	cp	BRD-K80315159	DPPE	Histamine receptor antagonist
1530	11.99	cp	BRD-A71157293	fursultiamine	Vitamin B
1534	11.95	cp	BRD-K94070024	depomedrol	Glucocorticoid receptor agonist
1535	11.94	cp	BRD-K99174507	cardiogenol-c	Cardiomyogenesis inducer
1537	11.93	cp	BRD-K72093121	vidarabine	Antiviral
1539	11.86	cp	BRD-K53414658	tivozanib	VEGFR inhibitor
1540	11.84	cp	BRD-A02176148	tubaic-acid	Mitochondrial complex I inhibitor
1541	11.81	cp	BRD-M07438658	lapatinib	EGFR inhibitor
1552	11.69	cp	BRD-K91145395	prostratin	PKC activator
1553	11.69	cp	BRD-A82590476	SDZ-NKT-343	Tachykinin antagonist
1556	11.67	cp	BRD-A46179541	doxapram	Potassium channel blocker
1561	11.62	cp	BRD-K79131256	albendazole	Anthelmintic
1562	11.6	cp	BRD-K43887077	dopamine	Dopamine receptor agonist
1565	11.52	cp	BRD-K59962020	CHEMBL-374350	NFkB pathway inhibitor
1568	11.46	cp	BRD-K11373525	ZD-7155	Angiotensin receptor antagonist
1577	11.28	cp	BRD-K95435023	PHA-665752	c-Met inhibitor
1581	11.22	cp	BRD-K35430135	SR-59230A	Adrenergic receptor antagonist
1583	11.21	cp	BRD-K99451608	lopinavir	HIV protease inhibitor
1584	11.21	cp	BRD-K39111395	BCL2-inhibitor	BCL inhibitor
1587	11.17	cp	BRD-A68888262	azelastine	Histamine receptor antagonist
1589	11.14	cp	BRD-K15916496	clotrimazole	Cytochrome P450 inhibitor
1591	11.12	cp	BRD-K35483542	alitretinoin	Retinoid receptor agonist
1592	11.11	cp	BRD-K84895041	BMY-45778	IP1 prostacyclin receptor agonist
1598	11	cp	BRD-A74667430	etodolac	Cyclooxygenase inhibitor
1602	10.96	cp	BRD-K86727142	embelin	HCV inhibitor
1608	10.83	cp	BRD-A73581086	ergometrine	Adrenergic receptor agonist
1609	10.79	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
1611	10.76	cp	BRD-K46766488	S-14506	Serotonin receptor agonist
1612	10.72	cp	BRD-K64755930	etazolate	Phosphodiesterase inhibitor
1613	10.71	cp	BRD-K22631935	neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
1614	10.69	cp	BRD-K20742498	RS-39604	Serotonin receptor antagonist
1620	10.59	cp	BRD-K78959463	FPL-64176	Calcium channel activator
1626	10.56	cp	BRD-K94830329	ataluren	CFTR channel agonist
1627	10.54	cp	BRD-K23335153	AMN-082	Glutamate receptor modulator
1628	10.48	cp	BRD-K82823804	SA-792987	PKC inhibitor
1630	10.44	cp	BRD-K73290745	ICI-199441	Opioid receptor agonist
1633	10.42	cp	BRD-K32501161	vanoxerine	Dopamine uptake inhibitor
1643	10.21	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
1645	10.19	cp	BRD-K78280988	anandamide	Cannabinoid receptor agonist
1646	10.15	cp	BRD-K05104363	PD-184352	MEK inhibitor
1648	10.15	cp	BRD-A64092382	mexiletine	Sodium channel blocker
1651	10.1	cp	BRD-K46137903	prednicarbate	Phospholipase activator
1654	10.03	cp	BRD-A13946108	sulindac	Cyclooxygenase inhibitor
1658	9.94	cp	BRD-A29731977	17-hydroxyprogesterone-caproate	progesterone receptor agonist
1659	9.93	cp	BRD-K16551401	PNU-22394	Serotonin receptor agonist
1660	9.92	cp	BRD-K41567364	SB-334867	Orexin receptor antagonist
1662	9.9	cp	BRD-K66792149	quinoclamine	Algicide
1666	9.84	cp	BRD-K30867024	SB-216641	Serotonin receptor antagonist
1668	9.8	cp	BRD-K57886322	fluocinonide	Glucocorticoid receptor agonist
1669	9.77	cp	BRD-K68867920	quetiapine	Dopamine receptor antagonist
1673	9.69	cp	BRD-K29113274	ketoconazole	Sterol demethylase inhibitor
1674	9.66	cp	BRD-U25771771	WZ-4-145	EGFR inhibitor
1676	9.64	cp	BRD-K61269089	daphnetin	Protein kinase inhibitor
1678	9.61	cp	BRD-K24201553	SB-269970	Serotonin receptor antagonist
1679	9.57	cp	BRD-A79314293	cephalosporanic-acid	Bacterial cell wall synthesis inhibitor
1681	9.52	cp	BRD-K69763916	LY-341495	Glutamate receptor antagonist
1683	9.5	cp	BRD-A70731303	avrainvillamide-analog-5	nucleophosmin inhibitor
1685	9.5	cp	BRD-K33453211	levocabastine	Histamine receptor antagonist
1686	9.48	cp	BRD-K96799727	pifithrin-mu	HSP inhibitor
1688	9.45	cp	BRD-A35511923	L-803087	Somatostatin receptor agonist
1689	9.44	cp	BRD-K44876623	zolpidem	Benzodiazepine receptor agonist
1690	9.44	cp	BRD-A22707317	SB-205384	GABA receptor modulator
1691	9.44	cp	BRD-A33084410	5'-guanidinonaltrindole	Opioid receptor antagonist
1693	9.44	cp	BRD-K63641886	cefuroxime	Bacterial cell wall synthesis inhibitor
1700	9.33	cp	BRD-A31227688	kynuramine	Aryl hydrocarbon receptor activator
1704	9.2	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
1705	9.19	cp	BRD-A23637604	oxymetholone	Androgen receptor agonist
1712	9.12	cp	BRD-K77947974	fluspirilene	Dopamine receptor antagonist
1713	9.09	cp	BRD-K80970344	pyrrolidine-dithiocarbamate	NFkB pathway inhibitor
1716	9.07	cp	BRD-K60274257	dephostatin	Tyrosine phosphatase inhibitor
1717	9.04	cp	BRD-K44067360	flufenamic-acid	Chloride channel blocker
1721	8.95	cp	BRD-A75935363	atracurium	Acetylcholine receptor antagonist
1727	8.86	cp	BRD-K32292990	CGP-53353	EGFR inhibitor
1729	8.84	cp	BRD-A72758037	asiatic-acid	Apoptosis stimulant
1732	8.83	cp	BRD-A15914070	4-hydroxy-2-nonenal	Cytotoxic lipid peroxidation product
1733	8.82	cp	BRD-K50836978	purvalanol-a	CDK inhibitor
1734	8.8	cp	BRD-A26095496	clobetasol	Glucocorticoid receptor agonist
1735	8.78	cp	BRD-K72726508	arcyriaflavin-a	CDK inhibitor
1736	8.77	cp	BRD-K81916719	triclabendazole	Microtubule inhibitor
1739	8.74	cp	BRD-A30437061	camptothecin	Topoisomerase inhibitor
1742	8.69	cp	BRD-K88849294	lobaric-acid	Tyrosine phosphatase inhibitor
1744	8.66	cp	BRD-K02992638	lamivudine	Nucleoside reverse transcriptase inhibitor
1748	8.63	cp	BRD-K86204871	terconazole	Sterol demethylase inhibitor
1749	8.58	cp	BRD-K50891186	GR-103691	Dopamine receptor antagonist
1751	8.56	cp	BRD-K97330509	SRC-kinase-inhibitor-II	SRC inhibitor
1752	8.55	cp	BRD-K88741031	methyl-2,5-dihydroxycinnamate	EGFR inhibitor
1761	8.49	cp	BRD-A01826957	xanthinol	Vasodilator
1762	8.47	cp	BRD-K18779551	bifemelane	Acetylcholine release stimulant
1769	8.45	cp	BRD-K22096725	ALW-II-49-7	Ephrin inhibitor
1774	8.37	cp	BRD-A97701745	pindolol	Adrenergic receptor antagonist
1783	8.21	cp	BRD-A06726973	dibutyrylcyclic-gmp	cGMP analog
1785	8.18	cp	BRD-A24122750	saclofen	GABA receptor antagonist
1789	8.14	cp	BRD-A59985574	topotecan	Topoisomerase inhibitor
1790	8.13	cp	BRD-K64341947	CFM-1571	Guanylate cyclase activator
1793	8.1	cp	BRD-K47598052	PP-1	SRC inhibitor
1794	8.05	cp	BRD-K44094599	tacrolimus	Calcineurin inhibitor
1795	8.05	cp	BRD-K01815685	indole	aryl hydrocarbon receptor agonist
1798	8.03	cp	BRD-A42553870	L-152804	Neuropeptide receptor antagonist
1801	8	cp	BRD-K88701661	dimercaptosuccinic-acid	Chelating agent
1802	8	cp	BRD-K92492521	LY-255283	Leukotriene receptor antagonist
1806	7.97	cp	BRD-K85603128	resorcinol	Phosphodiesterase inhibitor
1807	7.97	cp	BRD-K29582677	flunarizine	Calcium channel blocker
1809	7.96	cp	BRD-K47693913	evoxine	Furoquinoline alkaloid
1810	7.95	cp	BRD-A68281735	REV-5901	Leukotriene receptor antagonist
1811	7.94	cp	BRD-K72816382	cinalukast	Leukotriene receptor antagonist
1813	7.92	cp	BRD-K94832621	Y-134	Estrogen receptor antagonist
1814	7.9	cp	BRD-K75615183	talipexole	Adrenergic receptor agonist
1816	7.89	cp	BRD-K12539581	nocodazole	Tubulin inhibitor
1817	7.88	cp	BRD-K93460210	lamotrigine	Serotonin receptor antagonist
1818	7.88	cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist
1819	7.88	cp	BRD-A92177080	betamethasone	Glucocorticoid receptor agonist
1820	7.87	cp	BRD-K41859756	NVP-AUY922	HSP inhibitor
1822	7.84	cp	BRD-K11399644	phenformin	AMPK activator
1823	7.83	cp	BRD-K13087974	4,5-dianilinophthalimide	EGFR inhibitor
1824	7.83	cp	BRD-K09485525	GANT-61	GLI antagonist
1825	7.83	cp	BRD-A48257147	PHCCC	Glutamate receptor agonist
1830	7.79	cp	BRD-K06221026	DUP-697	Cyclooxygenase inhibitor
1831	7.79	cp	BRD-K82562631	tolmetin	Cyclooxygenase inhibitor
1832	7.78	cp	BRD-K82688027	RG-13022	PDGFR receptor inhibitor
1836	7.74	cp	BRD-A75478957	PD-166793	Metalloproteinase inhibitor
1837	7.74	cp	BRD-K08703257	3-amino-benzamide	PARP inhibitor
1838	7.72	cp	BRD-A52326238	isogedunin	HSP inhibitor
1839	7.71	cp	BRD-K50464341	berbamine	Calmodulin antagonist
1840	7.7	cp	BRD-K23369905	oxiconazole	Bacterial cell wall synthesis inhibitor
1841	7.69	cp	BRD-K57033106	tripelennamine	Histamine receptor antagonist
1842	7.68	cp	BRD-K62012036	acitretin	Retinoid receptor agonist
1844	7.66	cp	BRD-K27351809	nomegestrol	Progesterone receptor agonist
1845	7.65	cp	BRD-K61341215	vecuronium	Acetylcholine receptor antagonist
1846	7.63	cp	BRD-K04853698	LDN-193189	Serine/threonine kinase inhibitor
1847	7.61	cp	BRD-K50720187	flupirtine	Glutamate receptor antagonist
1849	7.59	cp	BRD-A80017228	bendroflumethiazide	Sodium/potassium/chloride transporter inhibitor
1850	7.58	cp	BRD-K13566078	BMS-345541	IKK inhibitor
1851	7.58	cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist
1855	7.51	cp	BRD-K57546357	prunetin	Breast cancer resistance protein inhibitor
1862	7.4	cp	BRD-K07888196	tyrphostin-AG-538	IGF-1 inhibitor
1863	7.4	cp	BRD-K43068349	AMG-9810	TRPV antagonist
1866	7.39	cp	BRD-K85266041	DNQX	Glutamate receptor antagonist
1869	7.36	cp	BRD-K11636097	JNJ-7706621	CDK inhibitor
1871	7.35	cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator
1875	7.3	cp	BRD-A33833419	TER-14687	Inhibitor of translocation of PKCq in T cells
1876	7.3	cp	BRD-K19525698	ozagrel	Thromboxane synthase inhibitor
1877	7.26	cp	BRD-A67748489	K3644	Kinesin-like spindle protein inhibitor
1883	7.2	cp	BRD-A74771556	nikkomycin	Chitin inhibitor
1890	7.13	cp	BRD-K94689771	pinocembrin	CYP1B1 inhibitor
1891	7.12	cp	BRD-K15588452	R-96544	Serotonin receptor antagonist
1899	7.06	cp	BRD-A85280935	quinpirole	Dopamine receptor agonist
1912	6.95	cp	BRD-K30990140	FR-122047	Cyclooxygenase inhibitor
1914	6.95	cp	BRD-A60197193	amisulpride	Dopamine receptor antagonist
1916	6.91	cp	BRD-K18036262	L-168049	Glucagon receptor antagonist
1919	6.87	cp	BRD-K57718010	pentylenetetrazol	GABA receptor antagonist
1920	6.87	cp	BRD-A71459254	cymarin	ATPase inhibitor
1921	6.85	cp	BRD-A80383043	BRD-A80383043	Glutamate receptor agonist
1924	6.83	cp	BRD-K17823458	danoprevir	HCV inhibitor
1928	6.78	cp	BRD-K39965020	doconexent	PPAR receptor agonist
1930	6.75	cp	BRD-A48570745	ivermectin	GABA receptor agonist
1933	6.72	cp	BRD-K09638361	SA-63133	-666
1939	6.66	cp	BRD-K77390737	xanthohumol	ATPase inhibitor
1949	6.54	cp	BRD-K85133207	HDAC1-selective	HDAC inhibitor
1951	6.49	cp	BRD-K93201660	ML-7	Myosin light chain kinase inhibitor
1953	6.45	cp	BRD-K81169441	cerivastatin	HMGCR inhibitor
1955	6.43	cp	BRD-A02189320	met-leu-phe	-666
1956	6.42	cp	BRD-K13725475	rhodomyrtoxin	Cytotoxic agent
1957	6.42	cp	BRD-K14920963	erythrosine	Coloring agent
1959	6.41	cp	BRD-K78122587	NNC-55-0396	T-type calcium channel blocker
1962	6.38	cp	BRD-K09255212	clioquinol	Chelating agent
1964	6.36	cp	BRD-K85015012	NNC-05-2090	GAT inhibitor
1966	6.33	cp	BRD-A45543382	metrizamide	Radiopaque medium
1967	6.32	cp	BRD-A84134924	pancuronium	Acetylcholine receptor antagonist
1968	6.31	cp	BRD-K64610608	EMF-bca1-57	caspase inhibitor
1972	6.3	cp	BRD-A41519720	ezetimibe	Niemann-Pick C1-like 1 protein antagonist
1973	6.29	cp	BRD-K71266197	PSB-06126	NTPDase inhibitor
1977	6.25	cp	BRD-K88304388	dextrorphan	Glutamate receptor antagonist
1978	6.24	cp	BRD-A79672927	tropicamide	Acetylcholine receptor antagonist
1980	6.17	cp	BRD-K76064317	tyrphostin-AG-1296	FLT3 inhibitor
1983	6.13	cp	BRD-K50938287	sumatriptan	Serotonin receptor agonist
1986	6.08	cp	BRD-K47761761	PD-168077	Dopamine receptor agonist
1988	6.07	cp	BRD-K17896185	FIT	Opioid receptor agonist
1989	6.03	cp	BRD-K04710043	hexamethylenebisacetamide	AKT inhibitor
1993	5.99	cp	BRD-K29530284	amlexanox	Histamine receptor modulator
1994	5.99	cp	BRD-K60476892	YC-1	Guanylyl cyclase activator
1995	5.98	cp	BRD-K91696562	orantinib	FGFR inhibitor
1996	5.98	cp	BRD-K77625572	etomoxir	Carnitine palmitoyltransferase inhibitor
1998	5.95	cp	BRD-K77133231	PD-169316	p38 MAPK inhibitor
2003	5.88	cp	BRD-K92428232	GSK-461364	PLK inhibitor
2004	5.88	cp	BRD-K08806317	timolol	Adrenergic receptor antagonist
2005	5.85	cp	BRD-A51410489	yohimbine	Adrenergic receptor antagonist
2010	5.74	cp	BRD-A11007541	BCI-hydrochloride	Protein phosphatase inhibitor
2011	5.74	cp	BRD-A09094913	strychnine	Acetylcholine receptor antagonist
2013	5.72	cp	BRD-A91555231	norepinephrine	Adrenergic receptor agonist
2014	5.7	cp	BRD-K72676686	fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)
2016	5.68	cp	BRD-A19248578	latrunculin-b	Actin polymerization inhibitor
2017	5.68	cp	BRD-K40255344	tyrphostin-A9	Protein tyrosine kinase inhibitor
2024	5.61	cp	BRD-K52219182	BRD-K52219182	Phosphodiesterase inhibitor
2031	5.49	cp	BRD-K03600606	catechin	Beta secretase inhibitor
2039	5.46	cp	BRD-K48932581	cetraxate	Mucus protecting agent
2041	5.43	cp	BRD-K79877282	PF-543	Sphingosine kinase inhibitor
2042	5.43	cp	BRD-K89014967	AS-703026	MEK inhibitor
2043	5.43	cp	BRD-A80502530	cinobufagin	ATPase inhibitor
2044	5.43	cp	BRD-K48869804	icilin	TRPV agonist
2047	5.4	cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor
2048	5.4	cp	BRD-K82381502	acetylcholine	Acetylcholine receptor agonist
2064	5.29	cp	BRD-K40919711	BAPTA-AM	Potassium channel blocker
2070	5.24	cp	BRD-A26384407	chlortalidone	Carbonic anhydrase inhibitor
2074	5.22	cp	BRD-K64514229	toltrazuril	Antiprotozoal
2076	5.21	cp	BRD-A39290993	cyproterone	Androgen receptor antagonist
2080	5.2	cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor
2081	5.19	cp	BRD-K63675182	triflupromazine	Dopamine receptor antagonist
2083	5.18	cp	BRD-K88742110	BRD-K88742110	HDAC inhibitor
2084	5.17	cp	BRD-A28318179	aminomethyltransferase	Nitric oxide synthase inhibitor
2090	5.14	cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist
2092	5.11	cp	BRD-K21450440	benzthiazide	Carbonic anhydrase inhibitor
2097	5.07	cp	BRD-A10523515	GSK-429286A	Rho associated kinase inhibitor
2098	5.05	cp	BRD-K38477985	malonoben	Protein tyrosine kinase inhibitor
2104	5.04	cp	BRD-K36198571	WAY-170523	Metalloproteinase inhibitor
2108	5.01	cp	BRD-K40175214	torin-1	MTOR inhibitor
2110	5	cp	BRD-U86922168	QL-XII-47	BTK inhibitor
2112	4.98	cp	BRD-K28761384	zuclopenthixol	Dopamine receptor antagonist
2117	4.93	cp	BRD-K46862739	metyrapone	Cytochrome P450 inhibitor
2125	4.87	cp	BRD-K83144676	olmesartan	Angiotensin antagonist
2128	4.86	cp	BRD-K74430258	1,2-dichlorobenzene	Hepatotoxicant
2130	4.86	cp	BRD-A09533288	verapamil	Calcium channel blocker
2133	4.82	cp	BRD-K27499107	carbacyclin	IP receptor activator
2137	4.8	cp	BRD-K13926615	vardenafil	Phosphodiesterase inhibitor
2138	4.79	cp	BRD-K93480852	KN-93	Calcium-calmodulin dependent protein kinase inhibitor
2140	4.78	cp	BRD-K54314721	zolmitriptan	Serotonin receptor agonist
2142	4.76	cp	BRD-K20197062	SA-94315	Caspase inhibitor
2143	4.76	cp	BRD-A64227845	SKF-77434	Dopamine receptor agonist
2145	4.72	cp	BRD-K60174629	z-prolyl-prolinal	Prolyl endopeptidase inhibitor
2148	4.72	cp	BRD-K77175907	calcifediol	Vitamin D receptor agonist
2149	4.69	cp	BRD-A01317026	7,8-dihydro-L-biopterin	Dihydroneopterin aldolase inhibitor
2150	4.69	cp	BRD-K46018455	bezafibrate	PPAR receptor agonist
2151	4.69	cp	BRD-A65615053	zacopride	Serotonin receptor antagonist
2152	4.68	cp	BRD-U66370498	androstanol	CAR antagonist
2154	4.67	cp	BRD-A39268308	epibatidine	Acetylcholine receptor agonist
2160	4.62	cp	BRD-K41170226	deoxycholic-acid	G protein-coupled receptor agonist
2161	4.61	cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor
2162	4.58	cp	BRD-A22713669	BVT-948	Tyrosine phosphatase inhibitor
2167	4.57	cp	BRD-K78485176	olmesartan	Angiotensin receptor antagonist
2170	4.56	cp	BRD-K08109516	L-701324	Glutamate receptor antagonist
2172	4.55	cp	BRD-K99818283	PIK-90	PI3K inhibitor
2175	4.55	cp	BRD-K04887706	AKT-inhibitor-1-2	AKT inhibitor
2177	4.54	cp	BRD-K55127134	fluphenazine	Dopamine receptor antagonist
2180	4.51	cp	BRD-A27887842	prednisolone	Glucocorticoid receptor agonist
2183	4.49	cp	BRD-K26979635	NS-3694	Glutamate receptor antagonist
2184	4.48	cp	BRD-K41707108	ceramide	Phosphoenolpyruvate carboxylase activator
2186	4.46	cp	BRD-K64402243	ivachtin	Caspase inhibitor
2187	4.46	cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
2190	4.44	cp	BRD-K54704028	BAY-36-7620	Glutamate receptor antagonist
2192	4.44	cp	BRD-A30435184	metergoline	Dopamine receptor agonist
2197	4.4	cp	BRD-A15131297	benazepril	ACE inhibitor
2202	4.39	cp	BRD-K40645748	mefloquine	Adenosine receptor antagonist
2203	4.38	cp	BRD-K71534238	GW-9508	Free fatty acid receptor agonist
2204	4.38	cp	BRD-K39120595	bithionol	Autotaxin inhibitor
2207	4.34	cp	BRD-A65449987	flunisolide	Cytochrome P450 inhibitor
2208	4.33	cp	BRD-K28453807	nitrocaramiphen	Cholinergic receptor antagonist
2213	4.3	cp	BRD-K78599730	manumycin-a	Farnesyltransferase inhibitor
2214	4.29	cp	BRD-K00486786	RO-08-2750	NGF binding inhibitor
2215	4.29	cp	BRD-K03842655	penitrem-a	Potassium channel blocker
2220	4.26	cp	BRD-A34208323	VU-0404997-2	Glutamate receptor modulator
2221	4.23	cp	BRD-K82216340	medroxyprogesterone	progesterone receptor agonist
2226	4.18	cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor
2227	4.17	cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor
2228	4.16	cp	BRD-K92000912	AM-251	Cannabinoid receptor antagonist
2229	4.15	cp	BRD-K11163873	phenanthridone	PARP inhibitor
2231	4.14	cp	BRD-K01095011	finasteride	5-alpha reductase inhibitor
2233	4.14	cp	BRD-K32247306	primidone	GABA receptor antagonist
2236	4.13	cp	BRD-K10995081	perphenazine	Dopamine receptor antagonist
2237	4.12	cp	BRD-K42452249	EO-1428	p38 MAPK inhibitor
2238	4.12	cp	BRD-K11129031	gemfibrozil	Lipoprotein lipase activator
2242	4.09	cp	BRD-A99833829	bethanechol	Acetylcholine receptor agonist
2243	4.09	cp	BRD-K67566344	KU-0063794	MTOR inhibitor
2249	4.06	cp	BRD-K43796186	benzyl-quinazolin-4-yl-amine	EGFR inhibitor
2250	4.05	cp	BRD-K00675675	CL-82198	Metalloproteinase inhibitor
2256	4.03	cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
2257	4.02	cp	BRD-K09471561	levofloxacin	Bacterial DNA gyrase inhibitor
2258	4.02	cp	BRD-A33168282	sotalol	Adrenergic receptor antagonist
2261	3.99	cp	BRD-K33226500	indinavir	HIV protease inhibitor
2266	3.95	cp	BRD-A83237092	fulvestrant	Estrogen receptor antagonist
2267	3.95	cp	BRD-K54416256	methimazole	Antithyroid
2268	3.95	cp	BRD-A62182663	YK-4279	Apoptosis stimulant
2269	3.95	cp	BRD-K53263234	CITCO	CAR agonist
2272	3.94	cp	BRD-K54411430	robustic-acid	cAMP inhibitor
2276	3.91	cp	BRD-K68488863	ENMD-2076	FLT3 inhibitor
2277	3.91	cp	BRD-K11630072	carmofur	Thymidylate synthase inhibitor
2280	3.88	cp	BRD-K77641333	naphazoline	Adrenergic receptor agonist
2291	3.81	cp	BRD-K46211610	tolazoline	Adrenergic receptor antagonist
2295	3.78	cp	BRD-A14966924	alaproclate	Serotonin receptor antagonist
2296	3.77	cp	BRD-K18895904	olanzapine	Dopamine receptor antagonist
2297	3.77	cp	BRD-A52660433	tetrindole	Monoamine oxidase inhibitor
2300	3.75	cp	BRD-K06198550	isorotenone	Mitochondrial complex I inhibitor
2301	3.74	cp	BRD-K84996949	sinensetin	Cyclooxygenase inhibitor
2302	3.74	cp	BRD-K04111260	raclopride	Dopamine receptor antagonist
2303	3.74	cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor
2304	3.73	cp	BRD-K45158365	valsartan	Angiotensin receptor antagonist
2306	3.72	cp	BRD-A02481876	importazole	Importin-beta transport receptor inhibitor
2309	3.68	cp	BRD-A75552914	isoxicam	Cyclooxygenase inhibitor
2310	3.67	cp	BRD-A11678676	wortmannin	PI3K inhibitor
2315	3.63	cp	BRD-A43930669	L-368899	Oxytocin receptor antagonist
2328	3.58	cp	BRD-K56596464	QX-314	Sodium channel blocker
2331	3.58	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
2333	3.55	cp	BRD-A14395271	mesoridazine	Dopamine receptor antagonist
2337	3.52	cp	BRD-K49810818	sorafenib	FLT3 inhibitor
2338	3.51	cp	BRD-A49225603	alimemazine	Histamine receptor agonist
2342	3.49	cp	BRD-A13084692	troglitazone	Insulin sensitizer
2343	3.48	cp	BRD-K59773493	benzohydroxamic-acid	Antifungal
2347	3.46	cp	BRD-K68997413	PF-3845	FAAH inhibitor
2352	3.43	cp	BRD-K32107296	temozolomide	DNA alkylating agent
2356	3.42	cp	BRD-K13544237	r(-)-propylnorapomorphine	Dopamine receptor agonist
2357	3.42	cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist
2358	3.42	cp	BRD-A16754160	ampicillin	Bacterial cell wall synthesis inhibitor
2363	3.38	cp	BRD-K10860596	granisetron	Serotonin receptor antagonist
2364	3.38	cp	BRD-K70358946	aripiprazole	Serotonin receptor agonist
2366	3.37	cp	BRD-K96720755	relcovaptan	Vasopressin receptor antagonist
2371	3.35	cp	BRD-K04923131	GSK-3-inhibitor-IX	Glycogen synthase kinase inhibitor
2372	3.35	cp	BRD-A21723284	naltriben	Opioid receptor antagonist
